id	label
1	frog
2	truck
3	truck
4	deer
5	automobile
6	automobile
7	bird
8	horse
9	ship
10	cat
11	deer
12	horse
13	horse
14	bird
15	truck
16	truck
17	truck
18	cat
19	bird
20	frog
21	deer
22	cat
23	frog
24	frog
25	bird
26	frog
27	cat
28	dog
29	deer
30	airplane
31	airplane
32	truck
33	automobile
34	cat
35	deer
36	airplane
37	cat
38	horse
39	cat
40	cat
41	dog
42	bird
43	bird
44	horse
45	automobile
46	automobile
47	automobile
48	bird
49	bird
50	airplane
51	truck
52	dog
53	horse
54	truck
55	bird
56	bird
57	dog
58	bird
59	deer
60	cat
61	automobile
62	automobile
63	ship
64	bird
65	automobile
66	automobile
67	deer
68	truck
69	horse
70	ship
71	dog
72	truck
73	frog
74	horse
75	cat
76	automobile
77	truck
78	airplane
79	cat
80	automobile
81	cat
82	dog
83	deer
84	dog
85	horse
86	horse
87	deer
88	horse
89	truck
90	deer
91	bird
92	cat
93	ship
94	airplane
95	automobile
96	frog
97	automobile
98	automobile
99	deer
100	automobile
101	ship
102	cat
103	truck
104	frog
105	frog
106	automobile
107	ship
108	dog
109	bird
110	truck
111	truck
112	ship
113	automobile
114	horse
115	horse
116	airplane
117	airplane
118	frog
119	truck
120	automobile
121	bird
122	bird
123	truck
124	bird
125	frog
126	frog
127	automobile
128	truck
129	dog
130	airplane
131	deer
132	horse
133	frog
134	horse
135	automobile
136	ship
137	automobile
138	automobile
139	bird
140	ship
141	automobile
142	cat
143	cat
144	frog
145	bird
146	deer
147	truck
148	truck
149	dog
150	deer
151	cat
152	frog
153	horse
154	deer
155	frog
156	ship
157	dog
158	dog
159	deer
160	cat
161	automobile
162	ship
163	deer
164	horse
165	frog
166	airplane
167	truck
168	dog
169	automobile
170	cat
171	ship
172	bird
173	horse
174	dog
175	cat
176	deer
177	automobile
178	dog
179	horse
180	airplane
181	deer
182	horse
183	dog
184	dog
185	automobile
186	airplane
187	truck
188	frog
189	truck
190	airplane
191	ship
192	horse
193	ship
194	ship
195	bird
196	dog
197	bird
198	cat
199	dog
200	airplane
201	frog
202	automobile
203	truck
204	cat
205	frog
206	truck
207	automobile
208	cat
209	truck
210	frog
211	frog
212	horse
213	automobile
214	airplane
215	truck
216	dog
217	ship
218	dog
219	bird
220	truck
221	airplane
222	ship
223	ship
224	airplane
225	frog
226	truck
227	automobile
228	automobile
229	frog
230	cat
231	horse
232	frog
233	frog
234	airplane
235	frog
236	frog
237	automobile
238	horse
239	automobile
240	dog
241	ship
242	cat
243	frog
244	frog
245	ship
246	frog
247	ship
248	deer
249	frog
250	frog
251	automobile
252	cat
253	ship
254	cat
255	deer
256	automobile
257	horse
258	automobile
259	cat
260	ship
261	dog
262	automobile
263	automobile
264	deer
265	airplane
266	truck
267	cat
268	horse
269	deer
270	truck
271	truck
272	bird
273	deer
274	truck
275	truck
276	automobile
277	airplane
278	dog
279	truck
280	airplane
281	ship
282	bird
283	automobile
284	bird
285	airplane
286	dog
287	frog
288	cat
289	bird
290	horse
291	ship
292	ship
293	frog
294	airplane
295	horse
296	truck
297	deer
298	dog
299	frog
300	deer
301	bird
302	automobile
303	automobile
304	bird
305	automobile
306	dog
307	truck
308	truck
309	airplane
310	ship
311	deer
312	automobile
313	automobile
314	frog
315	cat
316	cat
317	truck
318	airplane
319	horse
320	truck
321	horse
322	horse
323	truck
324	automobile
325	dog
326	automobile
327	frog
328	frog
329	ship
330	horse
331	automobile
332	cat
333	airplane
334	cat
335	cat
336	bird
337	deer
338	dog
339	horse
340	dog
341	truck
342	airplane
343	cat
344	deer
345	airplane
346	deer
347	deer
348	frog
349	airplane
350	airplane
351	frog
352	frog
353	airplane
354	ship
355	automobile
356	frog
357	bird
358	truck
359	bird
360	dog
361	truck
362	frog
363	horse
364	deer
365	automobile
366	ship
367	horse
368	cat
369	frog
370	truck
371	cat
372	airplane
373	deer
374	airplane
375	dog
376	automobile
377	airplane
378	cat
379	deer
380	ship
381	dog
382	deer
383	horse
384	bird
385	cat
386	truck
387	horse
388	frog
389	horse
390	automobile
391	deer
392	horse
393	airplane
394	automobile
395	horse
396	cat
397	automobile
398	ship
399	deer
400	deer
401	bird
402	airplane
403	bird
404	bird
405	airplane
406	airplane
407	truck
408	airplane
409	truck
410	frog
411	ship
412	bird
413	horse
414	horse
415	deer
416	airplane
417	cat
418	airplane
419	ship
420	truck
421	deer
422	bird
423	horse
424	bird
425	dog
426	bird
427	dog
428	automobile
429	truck
430	deer
431	ship
432	dog
433	automobile
434	horse
435	deer
436	deer
437	airplane
438	frog
439	truck
440	airplane
441	horse
442	ship
443	ship
444	truck
445	truck
446	cat
447	cat
448	deer
449	airplane
450	deer
451	dog
452	frog
453	frog
454	airplane
455	automobile
456	airplane
457	ship
458	airplane
459	deer
460	ship
461	ship
462	automobile
463	dog
464	bird
465	frog
466	ship
467	automobile
468	airplane
469	airplane
470	horse
471	horse
472	dog
473	truck
474	frog
475	bird
476	ship
477	cat
478	deer
479	horse
480	cat
481	truck
482	airplane
483	automobile
484	bird
485	deer
486	ship
487	automobile
488	ship
489	frog
490	deer
491	deer
492	dog
493	horse
494	automobile
495	cat
496	truck
497	ship
498	airplane
499	automobile
500	horse
